id,epoch_ms,datetime_utc,latitude,longitude,type
1212,1688323006000.0,2023-07-02 18.36.46.000,2.6363243180444185,124.66537289678469,0
1213,1688323006000.0,2023-07-02 18.36.46.000,2.334255763206702,125.21126515811457,0
1214,1688323020000.0,2023-07-02 18.37.00.000,1.8439859276536075,123.98195738496179,0
1215,1688323020000.0,2023-07-02 18.37.00.000,2.214445977772853,123.94560768924208,0
1216,1688323057000.0,2023-07-02 18.37.37.000,-1.1335806035637381,124.30150394859405,2
1217,1688323059000.0,2023-07-02 18.37.39.000,2.713979701962156,124.73167214906213,2
1218,1688323059000.0,2023-07-02 18.37.39.000,2.7214131490034106,124.68145017995175,2
1219,1688323061000.0,2023-07-02 18.37.41.000,-2.409956531866056,125.46518460548188,2
1220,1688323085000.0,2023-07-02 18.38.05.000,2.6795387165558666,124.8068277183227,2
1221,1688323115000.0,2023-07-02 18.38.35.000,-0.347627340720608,124.72072943463876,2
1222,1688323125000.0,2023-07-02 18.38.45.000,-1.2466029282945412,122.43830860491369,2
1223,1688323159000.0,2023-07-02 18.39.19.000,2.6903358862572126,124.64820915933996,0
1224,1688323186000.0,2023-07-02 18.39.46.000,2.0837151837106482,123.94166735267764,0
1225,1688323203000.0,2023-07-02 18.40.03.000,2.4972081566047337,124.54307413449375,0
1226,1688323204000.0,2023-07-02 18.40.04.000,2.6080056889603274,124.58130895833779,2
1227,1688323204000.0,2023-07-02 18.40.04.000,4.408171237395704,124.25710780222468,2
1228,1688323213000.0,2023-07-02 18.40.13.000,2.437410320906784,125.16454562277987,2
1229,1688323215000.0,2023-07-02 18.40.15.000,2.301457523145216,124.64725158195105,2
1230,1688323230000.0,2023-07-02 18.40.30.000,-2.936806001986085,125.03508612720368,0
1231,1688323236000.0,2023-07-02 18.40.36.000,6.057889851843508,127.67903281431967,0
1232,1688323247000.0,2023-07-02 18.40.47.000,2.204058088841559,124.14669544967471,2
1233,1688323251000.0,2023-07-02 18.40.51.000,2.4886066469224857,124.61166410425687,0
1234,1688323262000.0,2023-07-02 18.41.02.000,-0.7994671429644922,124.2172940442138,0
1235,1688323270000.0,2023-07-02 18.41.10.000,-1.1391997592108016,124.27326690928406,2
1236,1688323277000.0,2023-07-02 18.41.17.000,1.837541873593251,124.46375006933815,2
1237,1688323318000.0,2023-07-02 18.41.58.000,2.4039893411509703,125.01836535162552,2
1238,1688323378000.0,2023-07-02 18.42.58.000,2.454027627117093,124.7386105353158,2
1239,1688323386000.0,2023-07-02 18.43.06.000,0.7722053225304748,133.0355859800634,2
